aba	0	
zemlbába	0	
kába	0	
baba	1	human
sylaba	0	
nába	0	
mastaba	0	
léčba	0	
sebeléčba	0	
vodoléčba	0	
kunďaba	0	
aquafaba	0	
bioléčba	0	
teploléčba	0	
světloléčba	0	
dželaba	0	
bába	1	human
samoléčba	0	
elektroléčba	0	
lučba	0	
výučba	0	
skladba	0	
prabába	1	human
ježibaba	1	mythical
předléčba	0	
hradba	0	
sadba	0	
podsadba	0	
dosadba	0	
výsadba	0	
chodba	0	
hudba	0	
neléčba	0	
diskohudba	0	
hajzlbába	1	human
imunoléčba	0	
sudba	0	
kryoléčba	0	
cibéba	0	
jedubaba	1	human
cubeba	0	
janeba	0	
potřeba	0	
nepotřeba	0	
cyklopotřeba	0	
autopotřeba	0	
žába	1	animal
spotřeba	0	
předsadba	0	
nadspotřeba	0	
mezispotřeba	0	
kulčiba	0	
ceiba	0	
záliba	0	
obliba	0	
neobliba	0	
koliba	0	
diatriba	0	
šajba	0	
cejba	0	
alba	0	
dvojsadba	0	
dalba	0	
kalba	0	
minižába	1	animal
malba	0	
podmalba	0	
přemalba	0	
olejomalba	0	
zvukomalba	0	
elektrohudba	0	
krajinomalba	0	
dřevomalba	0	
výmalba	0	
palba	0	
rychlopalba	0	
šalba	0	
valba	0	
polovalba	0	
améba	1	animal
čelba	0	
dělba	0	
střelba	0	
lukostřelba	0	
dělostřelba	0	
přilba	0	
cyklopřilba	0	
holba	0	
kolba	0	
rolba	0	
volba	0	
amoeba	0	
předvolba	0	
podvolba	0	
nevolba	0	
mamba	1	animal
mezivolba	0	
dovolba	0	
eurovolba	0	
samospotřeba	0	
gamba	0	
samba	0	
sexbomba	1	human
limba	0	
marimba	0	
bomba	0	
superbomba	0	
katakomba	0	
plomba	0	
tromba	0	
hekatomba	0	
roba	1	human
macumba	0	
rumba	0	
tumba	0	
zumba	0	
klenba	0	
protiklenba	0	
osoba	1	human
honba	0	
doba	0	
lesba	1	human
rychlovolba	0	
nádoba	0	
megabomba	0	
autobomba	0	
ryba	1	animal
bionádoba	0	
termonádoba	0	
megasuperbomba	0	
obdoba	0	
podoba	0	
nápodoba	0	
videopodoba	0	
spodoba	0	
cordoba	0	
córdoba	0	
chudoba	0	
zdoba	0	
nezdoba	0	
přízdoba	0	
ozdoba	0	
výzdoba	0	
dágoba	0	
engoba	0	
obhajoba	0	
sebeobhajoba	0	
kizomba	0	
skoba	0	
žaloba	0	
obžaloba	0	
sebeobžaloba	0	
protižaloba	0	
mdloba	0	
dvojklenba	0	
běloba	0	
děvčica	1	human
hniloba	0	
zloba	0	
gastronádoba	0	
róba	0	
staroba	0	
droba	0	
turbodoba	0	
řimbaba	0	
garderoba	0	
mininápodoba	0	
siroba	0	
choroba	0	
poroba	0	
proba	0	
próba	0	
káča	1	animal
útroba	0	
výroba	0	
nadvýroba	0	
předvýroba	0	
audiopodoba	0	
podvýroba	0	
druhovýroba	0	
jojoba	0	
babča	1	human
biovýroba	0	
velkovýroba	0	
malovýroba	0	
samovýroba	0	
číča	1	animal
elektrovýroba	0	
dřevovýroba	0	
kovovýroba	0	
prvovýroba	0	
zásoba	0	
fotozásoba	0	
neosoba	0	
způsoba	0	
drba	0	
orba	0	
borba	0	
čorba	0	
korba	0	
torba	0	
mamča	1	human
tvorba	0	
transosoba	0	
jatoba	0	
sebetvorba	0	
krvetvorba	0	
minikorba	0	
antitvorba	0	
videotvorba	0	
normotvorba	0	
náladotvorba	0	
cenotvorba	0	
úča	1	human
mlékotvorba	0	
uhlotvorba	0	
dějinotvorba	0	
krajinotvorba	0	
fototvorba	0	
slovotvorba	0	
novotvorba	0	
mýtotvorba	0	
kotrba	0	
turba	0	
vrba	0	
pařba	0	
kuřba	0	
právotvorba	0	
spolutvorba	0	
tužkokresba	0	
rozkresba	0	
spisba	0	
kresba	0	
podkresba	0	
najáda	1	mythical
povahokresba	0	
uhlokresba	0	
předplatba	0	
drobnokresba	0	
jemnokresba	0	
perokresba	0	
ekoplatba	0	
dřevokresba	0	
prosba	0	
klatba	0	
platba	0	
europlatba	0	
satba	0	
svatba	0	
cikáda	1	animal
četba	0	
kletba	0	
setba	0	
mikroplatba	0	
modlitba	0	
úlitba	0	
plemenitba	0	
ženitba	0	
honitba	0	
vrtba	0	
dželada	1	animal
věštba	0	
kutba	0	
aucuba	0	
čuba	0	
menáda	1	mythical
huba	0	
spoluplatba	0	
záhuba	0	
sebezáhuba	0	
pseudomonáda	0	
tatajuba	0	
megasvatba	0	
jujuba	0	
aukuba	0	
paluba	0	
nezbeda	1	human
zásnuba	0	
houba	0	
tvrdohouba	0	
zhouba	0	
sebezhouba	0	
chlouba	0	
trouba	0	
záruba	0	
obruba	0	
příruba	0	
nesvatba	0	
šuba	0	
tuba	0	
plavba	0	
mořeplavba	0	
škareda	1	human
přeplavba	0	
vzduchoplavba	0	
paroplavba	0	
voroplavba	0	
rozplavba	0	
tavba	0	
stavba	0	
protikletba	0	
šereda	1	human
megastavba	0	
nástavba	0	
zástavba	0	
nadstavba	0	
obestavba	0	
přestavba	0	
nemodlitba	0	
neposeda	1	human
nápověda	0	
vestavba	0	
přístavba	0	
mikromodlitba	0	
dostavba	0	
ekostavba	0	
massaranduba	0	
velkostavba	0	
dřevostavba	0	
novostavba	0	
superstavba	0	
výstavba	0	
znovuvýstavba	0	
chyba	0	
dvojchyba	0	
pochyba	0	
mikrohuba	0	
cichlida	1	animal
paryba	0	
velryba	0	
sazba	0	
palamida	1	animal
fotosazba	0	
převazba	0	
samovazba	0	
řezba	0	
kamenořezba	0	
dřevořezba	0	
jizba	0	
hrozba	0	
vozba	0	
dlažba	0	
zádlažba	0	
předlažba	0	
vojanda	1	human
výdlažba	0	
pažba	0	
ražba	0	
dražba	0	
novoražba	0	
prvoražba	0	
veleba	0	
řežba	0	
těžba	0	
čižba	0	
držba	0	
údržba	0	
nanohouba	0	
sebeúdržba	0	
štramanda	1	human
elektroúdržba	0	
trúba	0	
tržba	0	
ketuba	0	
služba	0	
příslužba	0	
protislužba	0	
mininástavba	0	
taxislužba	0	
videoslužba	0	
sebevýstavba	0	
bohoslužba	0	
modloslužba	0	
gastroslužba	0	
fotoslužba	0	
fytoslužba	0	
výslužba	0	
družba	0	
minivelryba	0	
fešanda	1	human
kružba	0	
tužba	0	
pataca	0	
reposazba	0	
bréca	0	
rošťanda	1	human
skica	0	
míca	0	
treperenda	1	human
elektrosazba	0	
sólovazba	0	
gibanica	0	
parenica	0	
špica	0	
simca	0	
protihrozba	0	
anakonda	1	animal
kapuca	0	
ča	0	
čača	0	
dača	0	
kyberhrozba	0	
drnda	1	human
viskača	0	
tláča	0	
sváča	0	
barakuda	1	animal
véča	0	
píča	0	
obluda	1	mythical
ačokča	0	
gutaperča	0	
smažba	0	
prča	0	
kuča	0	
kůča	0	
dovča	0	
lambada	0	
alhidáda	0	
intifáda	0	
agada	0	
brigáda	0	
interbrigáda	0	
neruda	1	human
šaháda	0	
záhada	0	
přeražba	0	
palachiáda	0	
heydrichiáda	0	
drakiáda	0	
prakiáda	0	
nestyda	1	human
spartakiáda	0	
potěmkiáda	0	
čunkiáda	0	
autogramiáda	0	
jeremiáda	0	
pornohvězda	1	human
veteraniáda	0	
insigniáda	0	
klauniáda	0	
paralympiáda	0	
deaflympiáda	0	
protiražba	0	
abilympiáda	0	
olympiáda	0	
paraolympiáda	0	
odtěžba	0	
hilsneriáda	0	
e-tržba	0	
bambiriáda	0	
humoriáda	0	
traktoriáda	0	
dreyfusiáda	0	
faustiáda	0	
univerziáda	0	
plejáda	0	
estakáda	0	
dekáda	0	
barikáda	0	
kavalkáda	0	
blokáda	0	
kvazislužba	0	
arkáda	0	
kaskáda	0	
polokaskáda	0	
lada	0	
balada	0	
kaláda	0	
nálada	0	
pizda	1	human
audioslužba	0	
marmeláda	0	
kláda	0	
čokoláda	0	
roláda	0	
ohyzda	1	human
remuláda	0	
ruláda	0	
vláda	0	
nadvláda	0	
sebevláda	0	
nevláda	0	
lidovláda	0	
zlovláda	0	
žirafa	1	animal
cykloslužba	0	
samovláda	0	
jedinovláda	0	
světovláda	0	
krutovláda	0	
sylfa	1	mythical
cizovláda	0	
ďouba	0	
hrůzovláda	0	
termoslužba	0	
spoluvláda	0	
rozlada	0	
hadroslužba	0	
čalamáda	0	
pomáda	0	
hromada	0	
armáda	0	
miniarmáda	0	
kanada	0	
esplanáda	0	
promenáda	0	
serenáda	0	
mainada	0	
marináda	0	
